"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","CoefReg"
20,"f1.0",-0.278201150797341,2.07218709368222,0.695502876993353,6.61523599567422,-0.4,-4.33968785441449,3.78328555281981,1,0,1,91,"LL","1 Slope","1st","Intercept"
20,"f12.0",-1.49816340636215,7.88963086690138,2.49693901060358,14.6561406928317,-0.6,-16.9618399054889,13.9655130927646,0.989010989010989,0,1,91,"LL","1 Slope","2nd","Intercept"
20,"f12.1",1.8420953307952,7.5104038707349,2.30261916349399,5.08346043800025,0.8,-12.8782962558452,16.5624869174356,0.934065934065934,0,1,91,"LL","1 Slope","2nd","Slope"
20,"f2.0",-0.0138013244226229,2.28604466851496,0.0345033110565573,6.26167079124256,-0.4,-4.49444887471194,4.46684622586669,1,0.010989010989011,1,91,"LL","1 Slope","1st","Intercept"
33,"f1.0",-0.167822540641461,1.50316685550233,0.419556351603651,15.8743328330384,-0.4,-3.11402957742603,2.7783844961431,1,0.0416666666666667,1,96,"LL","1 Slope","1st","Intercept"
33,"f12.0",-0.519173119806701,4.33131345364916,0.865288533011169,5.08693598923183,-0.6,-9.00854748895905,7.97020124934565,1,0.0104166666666667,1,96,"LL","1 Slope","2nd","Intercept"
33,"f12.1",0.377636665507566,2.07337037969644,0.472045831884458,2.847282100418,0.8,-3.68616927869745,4.44144260971258,0.9375,0.09375,1,96,"LL","1 Slope","2nd","Slope"
33,"f2.0",0.149675527973982,1.21264657769744,-0.374188819934954,8.2247369662151,-0.4,-2.227111764313,2.52646282026096,1,0.0520833333333333,1,96,"LL","1 Slope","1st","Intercept"
54,"f1.0",0.0394257191715553,0.418770270917309,-0.0985642979288882,3.89699919260487,-0.4,-0.781364011826371,0.860215450169481,0.99,0.12,1,100,"LL","1 Slope","1st","Intercept"
54,"f12.0",-0.458152663764389,1.86431047251016,0.763587772940648,3.7226532984436,-0.6,-4.1122011898843,3.19589586235552,1,0.02,1,100,"LL","1 Slope","2nd","Intercept"
54,"f12.1",0.304813269577649,1.25850100023646,0.381016586972061,115.899573391669,0.8,-2.16184869088581,2.77147523004111,0.97,0.12,1,100,"LL","1 Slope","2nd","Slope"
54,"f2.0",0.0551800690090937,0.442104744746428,-0.137950172522734,11.2918003507018,-0.4,-0.811345230693906,0.921705368712093,0.99,0.1,1,100,"LL","1 Slope","1st","Intercept"
