"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","Param.Type"
20,"f1.0",0.364183187424694,6.47430003523789,-0.910457968561734,10.6623525774439,-0.4,-12.3254448816416,13.053811256491,1,0,1,96,"LL","3 Species","1st","Natural"
20,"f12.0",1.81410327834146,6.93542335764397,1.81410327834146,7.78002489068089,1,-11.7793265026407,15.4075330593236,1,0,1,96,"LL","3 Species","2nd","Natural"
20,"f13.0",-2.08845249236117,6.67898511612581,2.98350356051596,7.20623613695326,-0.7,-15.1792633199678,11.0023583352454,1,0,1,96,"LL","3 Species","2nd","Natural"
20,"f2.0",0.605897233645213,7.05358113963143,2.01965744548404,7.12933128226314,0.3,-13.2191218000324,14.4309162673228,1,0,1,96,"LL","3 Species","1st","Natural"
20,"f23.0",-2.12613983871076,7.20629750517672,2.12613983871076,5.79116280700596,-1,-16.2504829488571,11.9982032714356,1,0,1,96,"LL","3 Species","2nd","Natural"
20,"f3.0",2.35817776084976,5.72010632849149,2.9477222010622,9.69032437518244,0.8,-8.85323064299356,13.5695861646931,0.989583333333333,0,1,96,"LL","3 Species","1st","Natural"
33,"f1.0",0.447995351453985,3.98276290568084,-1.11998837863496,4.96665910650512,-0.4,-7.35821994368046,8.25421064658843,1,0.01,1,100,"LL","3 Species","1st","Natural"
33,"f12.0",0.925035632375732,3.8949782790286,0.925035632375732,5.38161124010234,1,-6.70912179452032,8.55919305927178,1,0.02,1,100,"LL","3 Species","2nd","Natural"
33,"f13.0",-1.03518606852045,4.12651840761823,1.4788372407435,4.45335901731565,-0.7,-9.12316214745218,7.05279001041128,0.99,0.04,1,100,"LL","3 Species","2nd","Natural"
33,"f2.0",0.288904913618475,4.05379150276654,0.96301637872825,14.1624094004176,0.3,-7.65652643180395,8.2343362590409,0.99,0.01,1,100,"LL","3 Species","1st","Natural"
33,"f23.0",-0.753878752481547,3.9176734179887,0.753878752481547,5.47387446512095,-1,-8.43251865173939,6.9247611467763,0.99,0.02,1,100,"LL","3 Species","2nd","Natural"
33,"f3.0",1.52387657160179,3.80515379026923,1.90484571450224,2.92589273181077,0.8,-5.9342248573259,8.98197800052949,0.99,0,1,100,"LL","3 Species","1st","Natural"
54,"f1.0",-0.114920723789962,1.94041287998807,0.287301809474906,3.56854944820448,-0.4,-3.91812996856658,3.68828852098666,1,0,1,100,"LL","3 Species","1st","Natural"
54,"f12.0",0.511811004551746,2.11490010025205,0.511811004551746,5.77933493733594,1,-3.63339319194227,4.65701520104577,1,0.04,1,100,"LL","3 Species","2nd","Natural"
54,"f13.0",-0.0596757810907687,2.38151556352872,0.0852511158439552,2.66726906855118,-0.7,-4.72744628560705,4.60809472342551,0.99,0.09,1,100,"LL","3 Species","2nd","Natural"
54,"f2.0",0.311708087368978,2.4704375326633,1.03902695789659,3.39418498438831,0.3,-4.53034947665109,5.15376565138905,1,0,1,100,"LL","3 Species","1st","Natural"
54,"f23.0",-0.662591686069864,2.29839492295683,0.662591686069864,1.94208717010629,-1,-5.16744573506525,3.84226236292552,0.99,0.07,1,100,"LL","3 Species","2nd","Natural"
54,"f3.0",0.58398500970369,2.36234704336639,0.729981262129613,1.94561135778767,0.8,-4.04621519529443,5.21418521470181,0.99,0.02,1,100,"LL","3 Species","1st","Natural"
90,"f1.0",-0.104100927320131,1.35761245546402,0.260252318300328,3.01996602069252,-0.4,-2.76502134002961,2.55681948538935,0.99,0.06,1,100,"LL","3 Species","1st","Natural"
90,"f12.0",0.192120316234082,1.40556720560628,0.192120316234082,2.63250247325348,1,-2.56279140675422,2.94703203922239,1,0.26,1,100,"LL","3 Species","2nd","Natural"
90,"f13.0",-0.0231062284518958,1.288841092403,0.0330088977884226,3.65011617039513,-0.7,-2.54923476956177,2.50302231265798,0.97,0.15,1,100,"LL","3 Species","2nd","Natural"
90,"f2.0",0.141824583099567,1.39227761539848,0.472748610331889,9.4600065430129,0.3,-2.58703954308146,2.87068870928059,0.98,0,1,100,"LL","3 Species","1st","Natural"
90,"f23.0",-0.336895962618759,1.25941443268203,0.336895962618759,2.52353119374348,-1,-2.80534825067553,2.13155632543801,0.98,0.35,1,100,"LL","3 Species","2nd","Natural"
90,"f3.0",0.216454312105953,1.31972699780537,0.270567890132442,1.65082161245021,0.8,-2.37021060359257,2.80311922780448,0.97,0.14,1,100,"LL","3 Species","1st","Natural"
148,"f1.0",0.000952704582550326,0.473497526776224,-0.00238176145637581,2.75985527622798,-0.4,-0.92710244789885,0.92900785706395,0.96,0.07,1,100,"LL","3 Species","1st","Natural"
148,"f12.0",0.0480369432361747,0.549988390896381,0.0480369432361747,5.18211655923994,1,-1.02994030292073,1.12601418939308,0.94,0.51,1,100,"LL","3 Species","2nd","Natural"
148,"f13.0",-0.043168359023602,0.485940964090194,0.0616690843194314,1.18553572894468,-0.7,-0.995612648640382,0.909275930593178,0.96,0.29,1,100,"LL","3 Species","2nd","Natural"
148,"f2.0",0.0311351279879676,0.49436271483972,0.103783759959892,3.48213567719982,0.3,-0.937815793097883,1.00008604907382,0.96,0.05,1,100,"LL","3 Species","1st","Natural"
148,"f23.0",-0.0868722085884192,0.536163672876836,0.0868722085884192,0.990760637959652,-1,-1.13775300742702,0.964008590250178,0.96,0.57,1,100,"LL","3 Species","2nd","Natural"
148,"f3.0",0.0842447425290905,0.406538383531587,0.105305928161363,0.924530485334077,0.8,-0.712570489192821,0.881059974251002,0.99,0.55,1,100,"LL","3 Species","1st","Natural"
244,"f1.0",0.0543146250483657,0.381021751801026,-0.135786562620914,2.61536149411599,-0.4,-0.692488008481645,0.801117258578377,0.96,0.16,1,100,"LL","3 Species","1st","Natural"
244,"f12.0",-0.0189757287515644,0.391761211727352,-0.0189757287515644,0.505826609390326,1,-0.786827703737173,0.748876246234045,0.97,0.71,1,100,"LL","3 Species","2nd","Natural"
244,"f13.0",-0.0754535707865289,0.393540860572639,0.107790815409327,0.951441776170648,-0.7,-0.846793657508901,0.695886515935843,0.95,0.53,1,100,"LL","3 Species","2nd","Natural"
244,"f2.0",-0.00253147892630169,0.349300244736215,-0.00843826308767231,4.75169842872098,0.3,-0.687159958609283,0.68209700075668,0.94,0.12,1,100,"LL","3 Species","1st","Natural"
244,"f23.0",0.0216778776679908,0.409219088173683,-0.0216778776679908,0.550649121451455,-1,-0.780391535152428,0.823747290488409,0.95,0.67,1,100,"LL","3 Species","2nd","Natural"
244,"f3.0",0.0295681620348696,0.326038877647121,0.036960202543587,0.453104152443979,0.8,-0.609468038153488,0.668604362223228,0.97,0.76,1,100,"LL","3 Species","1st","Natural"
403,"f1.0",-0.0246347646472963,0.29004731925016,0.0615869116182407,1.25788740064586,-0.4,-0.593127510377609,0.543857981083017,0.96,0.33,1,100,"LL","3 Species","1st","Natural"
403,"f12.0",0.0613631742116691,0.296113519324324,0.0613631742116691,0.312774000320844,1,-0.519019323664006,0.641745672087344,0.97,0.97,1,100,"LL","3 Species","2nd","Natural"
403,"f13.0",0.00348456888069529,0.308495349385034,-0.00497795554385042,0.494250842482529,-0.7,-0.601166315913971,0.608135453675361,0.96,0.6,1,100,"LL","3 Species","2nd","Natural"
403,"f2.0",-0.0342589091767373,0.27410734616602,-0.114196363922458,2.98080448074403,0.3,-0.571509307662136,0.502991489308661,0.94,0.18,1,100,"LL","3 Species","1st","Natural"
403,"f23.0",0.0201916696146475,0.313077948089326,-0.0201916696146475,0.463931596011896,-1,-0.593441108640431,0.633824447869726,0.92,0.92,1,100,"LL","3 Species","2nd","Natural"
403,"f3.0",0.0104382342653607,0.249422810357892,0.0130477928317009,0.326465006868814,0.8,-0.478430474036107,0.499306942566828,0.94,0.95,1,100,"LL","3 Species","1st","Natural"
665,"f1.0",0.037978211559442,0.231415200082465,-0.094945528898605,1.37729422296328,-0.4,-0.41559558060219,0.491552003721074,0.95,0.37,1,100,"LL","3 Species","1st","Natural"
665,"f12.0",-0.0173506623271574,0.24013181793658,-0.0173506623271574,0.253087677386395,1,-0.488009025482854,0.453307700828539,0.95,1,1,100,"LL","3 Species","2nd","Natural"
665,"f13.0",-0.0152621074500277,0.245301950256676,0.0218030106428967,0.380722962610894,-0.7,-0.496053929953113,0.465529715053058,0.92,0.87,1,100,"LL","3 Species","2nd","Natural"
665,"f2.0",-0.00123796023774633,0.199368732937288,-0.00412653412582109,1.58760134998917,0.3,-0.39200067679483,0.389524756319337,0.97,0.27,1,100,"LL","3 Species","1st","Natural"
665,"f23.0",-0.000952443695038453,0.245541440539769,0.000952443695038453,0.268151145554706,-1,-0.482213667152985,0.480308779762908,0.97,0.99,1,100,"LL","3 Species","2nd","Natural"
665,"f3.0",0.0119605723913193,0.211516022473223,0.0149507154891492,0.246717077146928,0.8,-0.402610831656197,0.426531976438835,0.93,0.99,1,100,"LL","3 Species","1st","Natural"
1096,"f1.0",-0.0350503980725386,0.176258659213879,0.0876259951813464,0.513935199142647,-0.4,-0.380517370131742,0.310416573986665,0.96,0.75,1,100,"LL","3 Species","1st","Natural"
1096,"f12.0",0.0333201790122034,0.174488560566588,0.0333201790122034,0.181145569956755,1,-0.308677399698308,0.375317757722715,0.96,1,1,100,"LL","3 Species","2nd","Natural"
1096,"f13.0",0.0260682528079318,0.178223255284803,-0.0372403611541883,0.298355011304916,-0.7,-0.323249327550283,0.375385833166146,0.95,0.97,1,100,"LL","3 Species","2nd","Natural"
1096,"f2.0",0.0038376704909356,0.169078010591385,0.0127922349697853,0.83321480677063,0.3,-0.327555230268178,0.335230571250049,0.93,0.45,1,100,"LL","3 Species","1st","Natural"
1096,"f23.0",-0.00509628438045208,0.183365028989056,0.00509628438045208,0.184643498817353,-1,-0.364491741199001,0.354299172438097,0.97,1,1,100,"LL","3 Species","2nd","Natural"
1096,"f3.0",0.0068045208762586,0.156430800676366,0.00850565109532325,0.18629205781569,0.8,-0.299799848449419,0.313408890201936,0.96,1,1,100,"LL","3 Species","1st","Natural"
1808,"f1.0",-0.000464488092446451,0.13232131318716,0.00116122023111613,0.375176008921613,-0.4,-0.259814261939279,0.258885285754386,0.98,0.84,1,100,"LL","3 Species","1st","Natural"
1808,"f12.0",-0.00962381467484688,0.12817072422638,-0.00962381467484688,0.144520455802916,1,-0.260838434158551,0.241590804808857,0.99,1,1,100,"LL","3 Species","2nd","Natural"
1808,"f13.0",0.00151311276318511,0.137106675309482,-0.00216158966169301,0.198640413864471,-0.7,-0.267215970843399,0.27024219636977,0.92,1,1,100,"LL","3 Species","2nd","Natural"
1808,"f2.0",0.0274199363508911,0.106188846387609,0.0913997878363035,0.438809663698302,0.3,-0.180710202568823,0.235550075270605,0.96,0.83,1,100,"LL","3 Species","1st","Natural"
1808,"f23.0",-0.00975321368040164,0.132922827623493,0.00975321368040164,0.140216422847398,-1,-0.270281955822448,0.250775528461645,0.95,1,1,100,"LL","3 Species","2nd","Natural"
1808,"f3.0",0.0141935279680559,0.117375140898886,0.0177419099600699,0.142053811285584,0.8,-0.215861748193761,0.244248804129873,0.96,1,1,100,"LL","3 Species","1st","Natural"
2980,"f1.0",-0.00569222509891705,0.102693755391015,0.0142305627472926,0.270843555911618,-0.4,-0.206971985665306,0.195587535467472,0.96,0.98,1,100,"LL","3 Species","1st","Natural"
2980,"f12.0",0.0108127363943659,0.10159738714219,0.0108127363943659,0.109435942230523,1,-0.188318142404326,0.209943615193057,0.97,1,1,100,"LL","3 Species","2nd","Natural"
2980,"f13.0",-0.00461143535139336,0.103616895441975,0.00658776478770481,0.150415351368249,-0.7,-0.207700550417663,0.198477679714877,0.95,1,1,100,"LL","3 Species","2nd","Natural"
2980,"f2.0",-0.00504109975175578,0.0884978239277478,-0.0168036658391859,0.478205773625652,0.3,-0.178496834650142,0.16841463514663,0.98,0.88,1,100,"LL","3 Species","1st","Natural"
