"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","IntStrength","IntType","NatPam","CoeffReg"
20,"f1.0",-0.383879268065387,2.37974763001063,0.959698170163469,3.24525852429481,-0.4,-5.04818462288623,4.28042608675545,1,0,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
20,"f12.0",1.15662118230415,3.37771803063812,1.15662118230415,295.152153689382,1,-5.46370615774655,7.77694852235486,0.98,0.01,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
20,"f2.0",-0.498833860767208,2.51715081354324,1.24708465191802,3.52143597446812,-0.4,-5.43244945531196,4.43478173377755,1,0,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
33,"f1.0",-0.41174251612454,1.53833854158464,1.02935629031135,16.6895725872632,-0.4,-3.42688605763043,2.60340102538135,1,0.01,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
33,"f12.0",0.619196289153741,1.84309286924145,0.619196289153741,2.01713397969112,1,-2.9932657345595,4.23165831286698,0.99,0.03,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
33,"f2.0",-0.0361449534292487,0.755514786569247,0.0903623835731218,3.67378846258511,-0.4,-1.51695393510497,1.44466402824648,1,0,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
54,"f1.0",-0.179314143189764,0.721699737104221,0.448285357974409,2.41803613304522,-0.4,-1.59384562791404,1.23521734153451,0.98,0,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
54,"f12.0",0.365367256898706,1.0586169060563,0.365367256898706,8171.58092339893,1,-1.70952187897165,2.44025639276906,0.99,0.18,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
54,"f2.0",-0.136857892598704,0.637451844280608,0.342144731496759,3.96661176953374,-0.4,-1.38626350738869,1.11254772219129,0.98,0.03,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
90,"f1.0",0.00543445656129133,0.439208049418078,-0.0135861414032283,4.01942133876749,-0.4,-0.855413320298142,0.866282233420724,0.95,0.12,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
90,"f12.0",0.0307323528637084,0.688041205011439,0.0307323528637084,1.34409935509271,1,-1.31782840895871,1.37929311468613,0.95,0.33,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
90,"f2.0",-0.0253097891710505,0.496307277896887,0.0632744729276264,2.91898543988874,-0.4,-0.998072053848948,0.947452475506847,0.98,0.11,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
148,"f1.0",-0.0220902106881221,0.296385635374944,0.0552255267203052,1.47833787467201,-0.4,-0.603006056023012,0.558825634646767,0.99,0.24,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
148,"f12.0",0.0557023373550241,0.606195393052969,0.0557023373550241,0.615043692836761,1,-1.13244063302879,1.24384530773884,0.98,0.58,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
148,"f2.0",-0.0414793097181998,0.500347524937678,0.103698274295499,1.72844188470912,-0.4,-1.02216045859605,0.939201839159648,0.98,0.27,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
244,"f1.0",-0.00675735588811625,0.253999482951892,0.0168933897202906,1.21382653635341,-0.4,-0.504596342473824,0.491081630697591,0.97,0.36,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
244,"f12.0",0.016202312997965,0.411342500574282,0.016202312997965,0.433133662354836,1,-0.790028988127628,0.822433614123558,0.95,0.79,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
244,"f2.0",0.00441183040190432,0.264199843244237,-0.0110295760047608,8.57339738331983,-0.4,-0.513419862356799,0.522243523160608,0.94,0.34,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
403,"f1.0",-0.0302640955928491,0.196071380523202,0.0756602389821228,1.82565154402989,-0.4,-0.414564001418324,0.354035810232626,0.92,0.66,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
403,"f12.0",-0.00184447908906897,0.276292809841764,-0.00184447908906897,0.302091118531803,1,-0.543378386378927,0.539689428200789,0.93,0.96,1,100,"LL","Scenario1","Strong","Positive interaction ","f12.0","beta0"
403,"f2.0",0.011912668248491,0.189942644722004,-0.0297816706212275,0.850482188075679,-0.4,-0.360374915406636,0.384200251903618,0.96,0.57,1,100,"LL","Scenario1","Strong","Positive interaction ","f2.0","gamma0"
665,"f1.0",0.0149797659831662,0.134713898978442,-0.0374494149579154,0.450586888267174,-0.4,-0.249059476014581,0.279019007980913,0.97,0.74,1,100,"LL","Scenario1","Strong","Positive interaction ","f1.0","alpha0"
